ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,gui.py:1(<module>)
30000,0.346,0.000,1.128,0.000,learnWeights.py:10(err)
1,0.000,0.000,0.000,0.000,plotPlaceCells.py:1(<module>)
1,0.000,0.000,0.000,0.000,learnWeights.py:23(<listcomp>)
1,0.000,0.000,0.000,0.000,learnWeights.py:34(<listcomp>)
1,14.213,14.213,160.905,160.905,learnWeights.py:18(learn)
1,0.000,0.000,0.000,0.000,learnWeights.py:1(<module>)
9036,0.045,0.000,0.045,0.000,location.py:17(gComponent)
2,0.001,0.000,0.009,0.004,location.py:23(__init__)
15002,0.103,0.000,0.264,0.000,location.py:31(lookup)
1,0.000,0.000,0.000,0.000,location.py:22(DictGrids)
128,0.001,0.000,0.007,0.000,location.py:36(getGrids)
15627,0.003,0.000,0.003,0.000,location.py:53(__init__)
597,0.000,0.000,0.000,0.000,location.py:56(setPlaceId)
15030,0.014,0.000,0.014,0.000,location.py:61(setXY)
15002,0.021,0.000,0.299,0.000,location.py:75(setGrids)
625,0.004,0.000,0.008,0.000,location.py:83(getXY)
625,0.029,0.000,0.078,0.000,location.py:97(getGrids)
1,0.000,0.000,0.000,0.000,location.py:52(Location)
1,0.000,0.000,0.004,0.004,location.py:14(<module>)
1,0.000,0.000,0.002,0.002,DGStateAlan.py:17(__init__)
840,0.009,0.000,0.011,0.000,DGStateAlan.py:45(getOriginalValues)
12361,0.097,0.000,0.117,0.000,DGStateAlan.py:54(getSemanticValues)
1,0.000,0.000,0.002,0.002,DGStateAlan.py:58(generateSemantics)
10681,1.283,0.000,3.233,0.000,DGStateAlan.py:65(encode)
1680,0.005,0.000,0.879,0.001,DGStateAlan.py:119(learn)
840,0.025,0.000,0.061,0.000,DGStateAlan.py:132(learnECDGweights)
840,0.135,0.000,0.290,0.000,DGStateAlan.py:159(learnCA3CA1weights)
1,0.000,0.000,0.000,0.000,DGStateAlan.py:16(DGHelper)
15002,0.200,0.000,3.425,0.000,DGStateAlan.py:223(__init__)
3001,0.007,0.000,6.583,0.002,DGStateAlan.py:286(toVectorSurfOnly)
3001,0.036,0.000,6.676,0.002,DGStateAlan.py:295(toVectorSensesOnly)
