ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,gui.py:1(<module>)
1,0.000,0.000,0.000,0.000,plotPlaceCells.py:1(<module>)
30000,0.268,0.000,0.869,0.000,learnWeights.py:10(err)
1,0.000,0.000,0.000,0.000,learnWeights.py:23(<listcomp>)
1,0.000,0.000,0.000,0.000,learnWeights.py:34(<listcomp>)
1,11.970,11.970,60.395,60.395,learnWeights.py:18(learn)
1,0.000,0.000,0.000,0.000,learnWeights.py:1(<module>)
9036,0.040,0.000,0.040,0.000,location.py:17(gComponent)
2,0.001,0.000,0.008,0.004,location.py:23(__init__)
15002,0.086,0.000,0.230,0.000,location.py:31(lookup)
1,0.000,0.000,0.000,0.000,location.py:22(DictGrids)
128,0.001,0.000,0.006,0.000,location.py:36(getGrids)
15627,0.003,0.000,0.003,0.000,location.py:53(__init__)
597,0.000,0.000,0.000,0.000,location.py:56(setPlaceId)
15030,0.012,0.000,0.012,0.000,location.py:61(setXY)
15002,0.018,0.000,0.260,0.000,location.py:75(setGrids)
625,0.004,0.000,0.007,0.000,location.py:83(getXY)
625,0.025,0.000,0.068,0.000,location.py:97(getGrids)
1,0.000,0.000,0.000,0.000,location.py:52(Location)
1,0.000,0.000,0.004,0.004,location.py:14(<module>)
1,0.000,0.000,0.002,0.002,DGStateAlan.py:17(__init__)
840,0.007,0.000,0.009,0.000,DGStateAlan.py:45(getOriginalValues)
12361,0.079,0.000,0.095,0.000,DGStateAlan.py:54(getSemanticValues)
1,0.000,0.000,0.002,0.002,DGStateAlan.py:58(generateSemantics)
10681,1.121,0.000,2.822,0.000,DGStateAlan.py:65(encode)
1680,0.005,0.000,0.741,0.000,DGStateAlan.py:119(learn)
840,0.022,0.000,0.054,0.000,DGStateAlan.py:132(learnECDGweights)
840,0.110,0.000,0.239,0.000,DGStateAlan.py:159(learnCA3CA1weights)
1,0.000,0.000,0.000,0.000,DGStateAlan.py:16(DGHelper)
15002,0.173,0.000,2.996,0.000,DGStateAlan.py:223(__init__)
3001,0.006,0.000,5.684,0.002,DGStateAlan.py:286(toVectorSurfOnly)
3001,0.029,0.000,5.762,0.002,DGStateAlan.py:295(toVectorSensesOnly)
3001,0.005,0.000,0.051,0.000,DGStateAlan.py:299(toVectorOdomOnly)
9001,0.012,0.000,2.402,0.000,DGStateAlan.py:305(encode)
1,0.000,0.000,0.000,0.000,DGStateAlan.py:222(DGState)
10681,0.210,0.000,0.295,0.000,DGStateAlan.py:313(smartCollapseMatrix)
840,0.010,0.000,0.031,0.000,DGStateAlan.py:342(normalise)
1,0.002,0.002,0.744,0.744,DGStateAlan.py:360(train_weights)
1,0.000,0.000,0.000,0.000,DGStateAlan.py:5(<module>)
28,0.000,0.000,0.003,0.000,makeMaze.py:8(__init__)
1,0.000,0.000,0.000,0.000,makeMaze.py:7(Senses)
28,0.000,0.000,0.000,0.000,makeMaze.py:45(findSurfs)
1,0.000,0.000,28.685,28.685,makeMaze.py:74(makeMaze)
1,0.000,0.000,0.118,0.118,makeMaze.py:1(<module>)
1,0.000,0.000,0.000,0.000,SURFExtractor.py:24(__init__)
1,0.000,0.000,0.001,0.001,SURFExtractor.py:32(extractFilesByPrefix)
2,0.059,0.029,28.451,14.226,SURFExtractor.py:81(extractDescriptors)
1,0.000,0.000,0.186,0.186,SURFExtractor.py:92(mergeFeatures)
1,0.000,0.000,0.001,0.001,SURFExtractor.py:108(getFirstDescs)
1,0.000,0.000,0.044,0.044,SURFExtractor.py:127(generateFeatureVectors)
1,0.000,0.000,28.682,28.682,SURFExtractor.py:140(generateFeatureRepresentations)
1,0.000,0.000,0.000,0.000,SURFExtractor.py:17(SURFExtractor)
1,0.000,0.000,28.682,28.682,SURFExtractor.py:170(makeSURFRepresentation)
112,0.030,0.000,0.030,0.000,SURFExtractor.py:202(<listcomp>)
373816,0.050,0.000,0.050,0.000,SURFExtractor.py:202(<lambda>)
112,0.003,0.000,27.301,0.244,SURFExtractor.py:188(extractSURFFeatures)
6,0.000,0.000,0.171,0.028,SURFExtractor.py:241(findClosestMatchingFeaturesPairs)
7,0.000,0.000,0.151,0.022,SURFExtractor.py:262(trainFLANN)
56,0.000,0.000,0.014,0.000,SURFExtractor.py:269(findNearestFeatures)
56,0.000,0.000,0.022,0.000,SURFExtractor.py:273(calculateFeatureVector)
62,0.013,0.000,0.015,0.000,SURFExtractor.py:285(<listcomp>)
1289,0.000,0.000,0.000,0.000,SURFExtractor.py:286(<lambda>)
62,0.000,0.000,0.016,0.000,SURFExtractor.py:281(findMatchingFeatures)
6,0.000,0.000,0.000,0.000,SURFExtractor.py:300(<listcomp>)
1,0.002,0.002,0.185,0.185,SURFExtractor.py:290(mergeFeatures)
84,0.001,0.000,0.001,0.000,SURFExtractor.py:343(mergeFeaturePair)
56,0.000,0.000,0.000,0.000,SURFExtractor.py:353(<listcomp>)
56,0.001,0.000,0.001,0.000,SURFExtractor.py:348(findBooleanFeatureVector)
1,0.000,0.000,0.113,0.113,SURFExtractor.py:2(<module>)
1,0.000,0.000,0.000,0.000,hcq.py:9(History)
1,0.000,0.000,0.124,0.124,hcq.py:1(<module>)
251960,10.574,0.000,17.971,0.000,rbm.py:9(boltzmannProbs)
1,0.000,0.000,0.001,0.001,rbm.py:20(trainPriorBias)
3,1.012,0.337,10.075,3.358,rbm.py:29(trainW)
90,1.458,0.016,1.537,0.017,rbm.py:83(hardThreshold)
4,0.000,0.000,0.008,0.002,rbm.py:92(addBias)
1,0.000,0.000,0.124,0.124,rbm.py:1(<module>)
1,0.013,0.013,0.020,0.020,paths.py:19(__init__)
6000,0.073,0.000,1.543,0.000,paths.py:56(getGroundTruthFiring)
1,0.006,0.006,0.362,0.362,paths.py:76(getGroundTruthFirings)
1,0.025,0.025,3.778,3.778,paths.py:93(getNoiseyGPSFirings)
1,0.000,0.000,0.000,0.000,paths.py:17(Paths)
9000,0.524,0.000,0.576,0.000,paths.py:116(CA3StateFromInputs)
1,0.007,0.007,0.069,0.069,paths.py:234(ca3s2v)
1,0.017,0.017,6.872,6.872,paths.py:257(ecs2vd_so)
1,0.007,0.007,0.259,0.259,paths.py:266(ecs2vd_oo)
1,0.000,0.000,0.124,0.124,paths.py:2(<module>)
128896,1.682,0.000,1.682,0.000,cffun.py:12(fuse)
2,0.001,0.001,0.002,0.001,cffun.py:30(lag)
1,0.000,0.000,0.000,0.000,cffun.py:42(invsig)
1,0.000,0.000,0.004,0.004,cffun.py:1(<module>)
1,0.019,0.019,90.122,90.122,go.py:1(<module>)



