ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,gui.py:1(<module>)
1,0.000,0.000,0.000,0.000,plotPlaceCells.py:1(<module>)
30000,0.298,0.000,1.000,0.000,learnWeights.py:10(err)
1,8.508,8.508,128.105,128.105,learnWeights.py:18(learn)
1,0.000,0.000,0.000,0.000,learnWeights.py:1(<module>)
1872,0.008,0.000,0.008,0.000,location.py:17(gComponent)
2,0.001,0.000,0.012,0.006,location.py:23(__init__)
3000,0.020,0.000,0.055,0.000,location.py:31(lookup)
1,0.000,0.000,0.000,0.000,location.py:22(DictGrids)
128,0.002,0.000,0.009,0.000,location.py:36(getGrids)
3028,0.001,0.000,0.001,0.000,location.py:53(__init__)
3028,0.003,0.000,0.003,0.000,location.py:61(setXY)
3000,0.004,0.000,0.062,0.000,location.py:75(setGrids)
28,0.000,0.000,0.000,0.000,location.py:83(getXY)
28,0.000,0.000,0.002,0.000,location.py:97(getGrids)
1,0.000,0.000,0.000,0.000,location.py:52(Location)
1,0.000,0.000,0.006,0.006,location.py:14(<module>)
1,0.000,0.000,0.000,0.000,DGStateAlan.py:16(DGHelper)
3000,0.036,0.000,0.125,0.000,DGStateAlan.py:223(__init__)
1,0.000,0.000,0.000,0.000,DGStateAlan.py:222(DGState)
1,0.000,0.000,0.000,0.000,DGStateAlan.py:5(<module>)
28,0.000,0.000,0.003,0.000,makeMaze.py:8(__init__)
1,0.000,0.000,0.000,0.000,makeMaze.py:7(Senses)
28,0.000,0.000,0.000,0.000,makeMaze.py:45(findSurfs)
1,0.000,0.000,38.053,38.053,makeMaze.py:74(makeMaze)
1,0.000,0.000,0.128,0.128,makeMaze.py:1(<module>)
1,0.000,0.000,0.000,0.000,SURFExtractor.py:24(__init__)
1,0.000,0.000,0.001,0.001,SURFExtractor.py:32(extractFilesByPrefix)
2,0.074,0.037,37.808,18.904,SURFExtractor.py:81(extractDescriptors)
1,0.000,0.000,0.195,0.195,SURFExtractor.py:92(mergeFeatures)
1,0.000,0.000,0.001,0.001,SURFExtractor.py:108(getFirstDescs)
1,0.000,0.000,0.047,0.047,SURFExtractor.py:127(generateFeatureVectors)
1,0.000,0.000,38.050,38.050,SURFExtractor.py:140(generateFeatureRepresentations)
1,0.000,0.000,0.000,0.000,SURFExtractor.py:17(SURFExtractor)
1,0.000,0.000,38.050,38.050,SURFExtractor.py:170(makeSURFRepresentation)
112,0.044,0.000,0.044,0.000,SURFExtractor.py:202(<listcomp>)
373816,0.063,0.000,0.063,0.000,SURFExtractor.py:202(<lambda>)
112,0.003,0.000,36.551,0.326,SURFExtractor.py:188(extractSURFFeatures)
6,0.000,0.000,0.178,0.030,SURFExtractor.py:241(findClosestMatchingFeaturesPairs)
7,0.000,0.000,0.163,0.023,SURFExtractor.py:262(trainFLANN)
56,0.000,0.000,0.017,0.000,SURFExtractor.py:269(findNearestFeatures)
56,0.000,0.000,0.025,0.000,SURFExtractor.py:273(calculateFeatureVector)
62,0.014,0.000,0.017,0.000,SURFExtractor.py:285(<listcomp>)
1289,0.000,0.000,0.000,0.000,SURFExtractor.py:286(<lambda>)
62,0.000,0.000,0.018,0.000,SURFExtractor.py:281(findMatchingFeatures)
6,0.000,0.000,0.000,0.000,SURFExtractor.py:300(<listcomp>)
1,0.002,0.002,0.194,0.194,SURFExtractor.py:290(mergeFeatures)
84,0.001,0.000,0.001,0.000,SURFExtractor.py:343(mergeFeaturePair)
56,0.000,0.000,0.000,0.000,SURFExtractor.py:353(<listcomp>)
56,0.001,0.000,0.001,0.000,SURFExtractor.py:348(findBooleanFeatureVector)
1,0.000,0.000,0.122,0.122,SURFExtractor.py:2(<module>)
1,0.000,0.000,0.000,0.000,hcq.py:9(History)
1,0.000,0.000,0.137,0.137,hcq.py:1(<module>)
225035,5.405,0.000,107.001,0.000,rbm.py:9(boltzmannProbs)
3,0.000,0.000,0.005,0.002,rbm.py:92(addBias)
1,0.000,0.000,0.136,0.136,rbm.py:1(<module>)
1,0.016,0.016,0.025,0.025,paths.py:19(__init__)
3000,0.043,0.000,0.434,0.000,paths.py:56(getGroundTruthFiring)
1,0.008,0.008,0.443,0.443,paths.py:76(getGroundTruthFirings)
1,0.000,0.000,0.000,0.000,paths.py:17(Paths)
3000,0.208,0.000,0.229,0.000,paths.py:116(CA3StateFromInputs)
1,0.000,0.000,0.136,0.136,paths.py:2(<module>)
120028,1.690,0.000,1.690,0.000,cffun.py:12(fuse)
1,0.001,0.001,0.001,0.001,cffun.py:30(lag)
1,0.000,0.000,0.005,0.005,cffun.py:1(<module>)
1,0.001,0.001,167.375,167.375,go.py:1(<module>)



