ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,gui.py:1(<module>)
1,0.000,0.000,0.000,0.000,plotPlaceCells.py:1(<module>)
1,0.000,0.000,0.000,0.000,learnWeights.py:1(<module>)
1872,0.006,0.000,0.006,0.000,location.py:17(gComponent)
2,0.001,0.000,0.008,0.004,location.py:23(__init__)
3000,0.016,0.000,0.046,0.000,location.py:31(lookup)
1,0.000,0.000,0.000,0.000,location.py:22(DictGrids)
128,0.001,0.000,0.006,0.000,location.py:36(getGrids)
3028,0.001,0.000,0.001,0.000,location.py:53(__init__)
3028,0.002,0.000,0.002,0.000,location.py:61(setXY)
3000,0.004,0.000,0.052,0.000,location.py:75(setGrids)
28,0.000,0.000,0.000,0.000,location.py:83(getXY)
28,0.000,0.000,0.002,0.000,location.py:97(getGrids)
1,0.000,0.000,0.000,0.000,location.py:52(Location)
1,0.000,0.000,0.004,0.004,location.py:14(<module>)
1,0.000,0.000,0.000,0.000,DGStateAlan.py:16(DGHelper)
3000,0.032,0.000,0.105,0.000,DGStateAlan.py:223(__init__)
1,0.000,0.000,0.000,0.000,DGStateAlan.py:222(DGState)
1,0.000,0.000,0.000,0.000,DGStateAlan.py:5(<module>)
28,0.000,0.000,0.003,0.000,makeMaze.py:8(__init__)
1,0.000,0.000,0.000,0.000,makeMaze.py:7(Senses)
28,0.000,0.000,0.000,0.000,makeMaze.py:45(findSurfs)
1,0.000,0.000,28.406,28.406,makeMaze.py:74(makeMaze)
1,0.000,0.000,0.115,0.115,makeMaze.py:1(<module>)
1,0.000,0.000,0.000,0.000,SURFExtractor.py:24(__init__)
1,0.000,0.000,0.001,0.001,SURFExtractor.py:32(extractFilesByPrefix)
2,0.057,0.029,28.174,14.087,SURFExtractor.py:81(extractDescriptors)
1,0.000,0.000,0.186,0.186,SURFExtractor.py:92(mergeFeatures)
1,0.000,0.000,0.001,0.001,SURFExtractor.py:108(getFirstDescs)
1,0.000,0.000,0.043,0.043,SURFExtractor.py:127(generateFeatureVectors)
1,0.000,0.000,28.403,28.403,SURFExtractor.py:140(generateFeatureRepresentations)
1,0.000,0.000,0.000,0.000,SURFExtractor.py:17(SURFExtractor)
1,0.000,0.000,28.403,28.403,SURFExtractor.py:170(makeSURFRepresentation)
112,0.031,0.000,0.031,0.000,SURFExtractor.py:202(<listcomp>)
373816,0.053,0.000,0.053,0.000,SURFExtractor.py:202(<lambda>)
112,0.003,0.000,27.012,0.241,SURFExtractor.py:188(extractSURFFeatures)
6,0.000,0.000,0.169,0.028,SURFExtractor.py:241(findClosestMatchingFeaturesPairs)
7,0.000,0.000,0.149,0.021,SURFExtractor.py:262(trainFLANN)
56,0.000,0.000,0.015,0.000,SURFExtractor.py:269(findNearestFeatures)
56,0.000,0.000,0.023,0.000,SURFExtractor.py:273(calculateFeatureVector)
62,0.014,0.000,0.016,0.000,SURFExtractor.py:285(<listcomp>)
1288,0.000,0.000,0.000,0.000,SURFExtractor.py:286(<lambda>)
62,0.000,0.000,0.017,0.000,SURFExtractor.py:281(findMatchingFeatures)
6,0.000,0.000,0.000,0.000,SURFExtractor.py:300(<listcomp>)
1,0.002,0.002,0.185,0.185,SURFExtractor.py:290(mergeFeatures)
84,0.001,0.000,0.001,0.000,SURFExtractor.py:343(mergeFeaturePair)
56,0.000,0.000,0.000,0.000,SURFExtractor.py:353(<listcomp>)
56,0.001,0.000,0.001,0.000,SURFExtractor.py:348(findBooleanFeatureVector)
1,0.000,0.000,0.110,0.110,SURFExtractor.py:2(<module>)
1,0.000,0.000,0.000,0.000,hcq.py:9(History)
1,0.000,0.000,0.121,0.121,hcq.py:1(<module>)
1,0.000,0.000,0.121,0.121,rbm.py:1(<module>)
1,0.013,0.013,0.021,0.021,paths.py:19(__init__)
3000,0.035,0.000,0.364,0.000,paths.py:56(getGroundTruthFiring)
1,0.006,0.006,0.371,0.371,paths.py:76(getGroundTruthFirings)
1,0.000,0.000,0.000,0.000,paths.py:17(Paths)
3000,0.174,0.000,0.192,0.000,paths.py:116(CA3StateFromInputs)
1,0.000,0.000,0.121,0.121,paths.py:2(<module>)
1,0.000,0.000,0.004,0.004,cffun.py:1(<module>)
1,0.000,0.000,29.439,29.439,go.py:1(<module>)



